"subject" "condition" "item" "variable" "value"
"8792" 3 "d" 2 "TRC" NA
"8793" 3 "d" 2 "TRC" 1
"8794" 3 "d" 2 "TRC" NA
"8795" 3 "d" 2 "TRC" NA
"8796" 3 "d" 2 "TRC" NA
"8797" 3 "c" 1 "TRC" 0
"8798" 3 "c" 1 "TRC" 1
"8799" 3 "c" 1 "TRC" 1
"8800" 3 "c" 1 "TRC" 0
"8801" 3 "c" 1 "TRC" 1
"8802" 3 "c" 1 "TRC" NA
"8803" 3 "c" 1 "TRC" 0
"8804" 3 "c" 1 "TRC" NA
"8805" 3 "c" 1 "TRC" NA
"8806" 3 "c" 1 "TRC" NA
"8807" 3 "c" 1 "TRC" NA
"8808" 3 "c" 1 "TRC" NA
"8809" 3 "a" 7 "TRC" 0
"8810" 3 "a" 7 "TRC" 0
"8811" 3 "a" 7 "TRC" 1
"8812" 3 "a" 7 "TRC" 1
"8813" 3 "a" 7 "TRC" 1
"8814" 3 "a" 7 "TRC" 0
"8815" 3 "a" 7 "TRC" 2
"8816" 3 "a" 7 "TRC" 2
"8817" 3 "a" 7 "TRC" 0
"8818" 3 "a" 7 "TRC" 2
"8819" 3 "a" 7 "TRC" NA
"8820" 3 "a" 7 "TRC" NA
"8821" 3 "c" 9 "TRC" 0
"8822" 3 "c" 9 "TRC" 2
"8823" 3 "c" 9 "TRC" 0
"8824" 3 "c" 9 "TRC" 1
"8825" 3 "c" 9 "TRC" 0
"8826" 3 "c" 9 "TRC" 0
"8827" 3 "c" 9 "TRC" 1
"8828" 3 "c" 9 "TRC" NA
"8829" 3 "c" 9 "TRC" NA
"8830" 3 "c" 9 "TRC" NA
"8831" 3 "c" 9 "TRC" NA
"8832" 3 "c" 9 "TRC" NA
"8833" 3 "a" 3 "TRC" 0
"8834" 3 "a" 3 "TRC" 0
"8835" 3 "a" 3 "TRC" 1
"8836" 3 "a" 3 "TRC" 0
"8837" 3 "a" 3 "TRC" 0
"8838" 3 "a" 3 "TRC" 0
"8839" 3 "a" 3 "TRC" 0
"8840" 3 "a" 3 "TRC" 0
"8841" 3 "a" 3 "TRC" 1
"8842" 3 "a" 3 "TRC" NA
"8843" 3 "a" 3 "TRC" 1
"8844" 3 "a" 3 "TRC" NA
"8845" 3 "c" 5 "TRC" 0
"8846" 3 "c" 5 "TRC" 1
"8847" 3 "c" 5 "TRC" 2
"8848" 3 "c" 5 "TRC" 0
"8849" 3 "c" 5 "TRC" 0
"8850" 3 "c" 5 "TRC" 0
"8851" 3 "c" 5 "TRC" 1
"8852" 3 "c" 5 "TRC" 0
"8853" 3 "c" 5 "TRC" 0
"8854" 3 "c" 5 "TRC" 2
"8855" 3 "c" 5 "TRC" NA
"8856" 3 "c" 5 "TRC" NA
"8857" 3 "d" 6 "TRC" 0
"8858" 3 "d" 6 "TRC" 0
"8859" 3 "d" 6 "TRC" 1
"8860" 3 "d" 6 "TRC" 0
"8861" 3 "d" 6 "TRC" 3
"8862" 3 "d" 6 "TRC" 0
"8863" 3 "d" 6 "TRC" 0
"8864" 3 "d" 6 "TRC" 0
"8865" 3 "d" 6 "TRC" NA
"8866" 3 "d" 6 "TRC" 3
"8867" 3 "d" 6 "TRC" NA
"8868" 3 "d" 6 "TRC" NA
"8869" 3 "b" 12 "TRC" 0
"8870" 3 "b" 12 "TRC" NA
"8871" 3 "b" 12 "TRC" 0
"8872" 3 "b" 12 "TRC" 1
"8873" 3 "b" 12 "TRC" 1
"8874" 3 "b" 12 "TRC" 0
"8875" 3 "b" 12 "TRC" 0
"8876" 3 "b" 12 "TRC" 0
"8877" 3 "b" 12 "TRC" NA
"8878" 3 "b" 12 "TRC" 0
"8879" 3 "b" 12 "TRC" NA
"8880" 3 "b" 12 "TRC" NA
"8881" 3 "b" 4 "TRC" 0
"8882" 3 "b" 4 "TRC" 0
"8883" 3 "b" 4 "TRC" 0
"8884" 3 "b" 4 "TRC" 0
"8885" 3 "b" 4 "TRC" 2
"8886" 3 "b" 4 "TRC" 0
"8887" 3 "b" 4 "TRC" 0
"8888" 3 "b" 4 "TRC" 2
"8889" 3 "b" 4 "TRC" 1
"8890" 3 "b" 4 "TRC" 1
"8891" 3 "b" 4 "TRC" NA
"8892" 3 "b" 4 "TRC" NA
"8893" 3 "d" 14 "TRC" 0
"8894" 3 "d" 14 "TRC" 0
"8895" 3 "d" 14 "TRC" 1
"8896" 3 "d" 14 "TRC" 0
"8897" 3 "d" 14 "TRC" 0
"8898" 3 "d" 14 "TRC" 0
"8899" 3 "d" 14 "TRC" 0
"8900" 3 "d" 14 "TRC" 1
"8901" 3 "d" 14 "TRC" NA
"8902" 3 "d" 14 "TRC" 1
"8903" 3 "d" 14 "TRC" NA
"8904" 3 "d" 14 "TRC" NA
"8905" 3 "b" 8 "TRC" 0
"8906" 3 "b" 8 "TRC" 1
"8907" 3 "b" 8 "TRC" 0
"8908" 3 "b" 8 "TRC" 1
"8909" 3 "b" 8 "TRC" 1
"8910" 3 "b" 8 "TRC" 0
"8911" 3 "b" 8 "TRC" 0
"8912" 3 "b" 8 "TRC" 0
"8913" 3 "b" 8 "TRC" NA
"8914" 3 "b" 8 "TRC" 1
"8915" 3 "b" 8 "TRC" NA
"8916" 3 "b" 8 "TRC" NA
"8917" 3 "c" 13 "TRC" 0
"8918" 3 "c" 13 "TRC" 0
"8919" 3 "c" 13 "TRC" 2
"8920" 3 "c" 13 "TRC" 2
"8921" 3 "c" 13 "TRC" 2
"8922" 3 "c" 13 "TRC" 1
"8923" 3 "c" 13 "TRC" 1
"8924" 3 "c" 13 "TRC" NA
"8925" 3 "c" 13 "TRC" 1
"8926" 3 "c" 13 "TRC" NA
"8927" 3 "c" 13 "TRC" NA
"8928" 3 "c" 13 "TRC" NA
"8929" 3 "d" 10 "TRC" 0
"8930" 3 "d" 10 "TRC" 1
"8931" 3 "d" 10 "TRC" 1
"8932" 3 "d" 10 "TRC" 0
"8933" 3 "d" 10 "TRC" 0
"8934" 3 "d" 10 "TRC" 0
"8935" 3 "d" 10 "TRC" NA
"8936" 3 "d" 10 "TRC" 0
"8937" 3 "d" 10 "TRC" NA
"8938" 3 "d" 10 "TRC" 1
"8939" 3 "d" 10 "TRC" NA
"8940" 3 "d" 10 "TRC" NA
"8941" 3 "b" 16 "TRC" 0
"8942" 3 "b" 16 "TRC" 0
"8943" 3 "b" 16 "TRC" 0
"8944" 3 "b" 16 "TRC" 0
"8945" 3 "b" 16 "TRC" 0
"8946" 3 "b" 16 "TRC" 0
"8947" 3 "b" 16 "TRC" 1
"8948" 3 "b" 16 "TRC" 0
"8949" 3 "b" 16 "TRC" NA
"8950" 3 "b" 16 "TRC" 1
"8951" 3 "b" 16 "TRC" NA
"8952" 3 "b" 16 "TRC" NA
"8953" 3 "a" 15 "TRC" 0
"8954" 3 "a" 15 "TRC" 0
"8955" 3 "a" 15 "TRC" 0
"8956" 3 "a" 15 "TRC" 0
"8957" 3 "a" 15 "TRC" 0
"8958" 3 "a" 15 "TRC" 0
"8959" 3 "a" 15 "TRC" 0
"8960" 3 "a" 15 "TRC" 1
"8961" 3 "a" 15 "TRC" NA
"8962" 3 "a" 15 "TRC" 2
"8963" 3 "a" 15 "TRC" NA
"8964" 3 "a" 15 "TRC" NA
"8965" 4 "c" 16 "TRC" 0
"8966" 4 "c" 16 "TRC" 1
"8967" 4 "c" 16 "TRC" 4
"8968" 4 "c" 16 "TRC" 3
"8969" 4 "c" 16 "TRC" 4
"8970" 4 "c" 16 "TRC" 1
"8971" 4 "c" 16 "TRC" 4
"8972" 4 "c" 16 "TRC" 1
"8973" 4 "c" 16 "TRC" 2
"8974" 4 "c" 16 "TRC" NA
"8975" 4 "c" 16 "TRC" NA
"8976" 4 "c" 16 "TRC" NA
"8977" 4 "a" 2 "TRC" 0
"8978" 4 "a" 2 "TRC" 0
"8979" 4 "a" 2 "TRC" 3
"8980" 4 "a" 2 "TRC" 1
"8981" 4 "a" 2 "TRC" 2
"8982" 4 "a" 2 "TRC" 1
"8983" 4 "a" 2 "TRC" 6
"8984" 4 "a" 2 "TRC" 5
"8985" 4 "a" 2 "TRC" 0
"8986" 4 "a" 2 "TRC" 3
"8987" 4 "a" 2 "TRC" NA
"8988" 4 "a" 2 "TRC" NA
"8989" 4 "d" 13 "TRC" 0
"8990" 4 "d" 13 "TRC" 0
"8991" 4 "d" 13 "TRC" 2
"8992" 4 "d" 13 "TRC" 3
"8993" 4 "d" 13 "TRC" 6
"8994" 4 "d" 13 "TRC" 4
"8995" 4 "d" 13 "TRC" 5
"8996" 4 "d" 13 "TRC" NA
"8997" 4 "d" 13 "TRC" 3
"8998" 4 "d" 13 "TRC" NA
"8999" 4 "d" 13 "TRC" NA
"9000" 4 "d" 13 "TRC" NA
"9001" 4 "b" 15 "TRC" 0
"9002" 4 "b" 15 "TRC" 2
"9003" 4 "b" 15 "TRC" 11
"9004" 4 "b" 15 "TRC" 9
"9005" 4 "b" 15 "TRC" 7
"9006" 4 "b" 15 "TRC" 8
"9007" 4 "b" 15 "TRC" 7
"9008" 4 "b" 15 "TRC" 6
"9009" 4 "b" 15 "TRC" 3
"9010" 4 "b" 15 "TRC" 2
"9011" 4 "b" 15 "TRC" NA
"9012" 4 "b" 15 "TRC" NA
"9013" 4 "d" 1 "TRC" 0
"9014" 4 "d" 1 "TRC" 0
"9015" 4 "d" 1 "TRC" 4
"9016" 4 "d" 1 "TRC" 2
"9017" 4 "d" 1 "TRC" 6
"9018" 4 "d" 1 "TRC" 3
"9019" 4 "d" 1 "TRC" 6
"9020" 4 "d" 1 "TRC" 0
"9021" 4 "d" 1 "TRC" 6
"9022" 4 "d" 1 "TRC" NA
"9023" 4 "d" 1 "TRC" NA
"9024" 4 "d" 1 "TRC" NA
"9025" 4 "a" 6 "TRC" 0
"9026" 4 "a" 6 "TRC" 3
"9027" 4 "a" 6 "TRC" 8
"9028" 4 "a" 6 "TRC" 1
"9029" 4 "a" 6 "TRC" 8
"9030" 4 "a" 6 "TRC" 3
"9031" 4 "a" 6 "TRC" 4
"9032" 4 "a" 6 "TRC" 8
"9033" 4 "a" 6 "TRC" 8
"9034" 4 "a" 6 "TRC" NA
"9035" 4 "a" 6 "TRC" 3
"9036" 4 "a" 6 "TRC" NA
"9037" 4 "c" 4 "TRC" 0
"9038" 4 "c" 4 "TRC" 0
"9039" 4 "c" 4 "TRC" 8
"9040" 4 "c" 4 "TRC" 5
"9041" 4 "c" 4 "TRC" 7
"9042" 4 "c" 4 "TRC" 5
"9043" 4 "c" 4 "TRC" 4
"9044" 4 "c" 4 "TRC" 2
"9045" 4 "c" 4 "TRC" 5
"9046" 4 "c" 4 "TRC" NA
"9047" 4 "c" 4 "TRC" NA
"9048" 4 "c" 4 "TRC" NA
"9049" 4 "a" 14 "TRC" 0
"9050" 4 "a" 14 "TRC" 1
"9051" 4 "a" 14 "TRC" 3
"9052" 4 "a" 14 "TRC" 5
"9053" 4 "a" 14 "TRC" 8
"9054" 4 "a" 14 "TRC" 2
"9055" 4 "a" 14 "TRC" 3
"9056" 4 "a" 14 "TRC" 4
"9057" 4 "a" 14 "TRC" 5
"9058" 4 "a" 14 "TRC" 1
"9059" 4 "a" 14 "TRC" 2
"9060" 4 "a" 14 "TRC" NA
"9061" 4 "d" 5 "TRC" 0
"9062" 4 "d" 5 "TRC" 0
"9063" 4 "d" 5 "TRC" 2
"9064" 4 "d" 5 "TRC" 2
"9065" 4 "d" 5 "TRC" 4
"9066" 4 "d" 5 "TRC" 2
"9067" 4 "d" 5 "TRC" 1
"9068" 4 "d" 5 "TRC" NA
"9069" 4 "d" 5 "TRC" 3
"9070" 4 "d" 5 "TRC" 1
"9071" 4 "d" 5 "TRC" NA
"9072" 4 "d" 5 "TRC" NA
"9073" 4 "b" 3 "TRC" 0
"9074" 4 "b" 3 "TRC" 1
"9075" 4 "b" 3 "TRC" 5
"9076" 4 "b" 3 "TRC" 3
"9077" 4 "b" 3 "TRC" 2
"9078" 4 "b" 3 "TRC" 4
"9079" 4 "b" 3 "TRC" 2
"9080" 4 "b" 3 "TRC" 5
"9081" 4 "b" 3 "TRC" 5
"9082" 4 "b" 3 "TRC" 1
"9083" 4 "b" 3 "TRC" 5
"9084" 4 "b" 3 "TRC" NA
"9085" 4 "c" 8 "TRC" 0
"9086" 4 "c" 8 "TRC" 1
